question,document
"I keep seeing “Failed to hardlink files” in GitHub Codespaces when using uv. Is that actually a problem, or can I ignore it?",acf8fa5356
Does uv still install the packages if it can’t hardlink from the cache in Codespaces?,acf8fa5356
How do I stop the hardlink warning from showing up just for my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in Codespaces instead of hardlinks?,acf8fa5356
Is there any official uv documentation I should check for this warning and the fallback behavior?,acf8fa5356
"I keep getting ""dotenv is not recognized"" — what package do I need to install for this?",0bed1f48da
How do I fix the error when `dotenv` isn't found in my Python environment?,0bed1f48da
What do I need to add to my project if `load_dotenv()` is not working?,0bed1f48da
Is `python-dotenv` the right install for using environment variables with `dotenv`?,0bed1f48da
"After installing the dotenv package, how should I import it in Python?",0bed1f48da
Can I do the RAG module on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for the course, or can I set everything up locally?",aa310de435
"If I want to run the course locally, what tools do I need to have installed?",aa310de435
Why do you recommend Codespaces if local setup is also possible?,aa310de435
Do I need to keep notes about my local setup so I can reproduce it later?,aa310de435
"If I just leave my work in Codespaces and don't commit, is it still saved somewhere?",610ccb23c0
Where does the code actually live when I'm working in GitHub Codespaces?,610ccb23c0
"Do I need to commit my changes right away in Codespaces, or can I leave them there for later?",610ccb23c0
What happens to my files in Codespaces if the VM stops or the space gets deleted?,610ccb23c0
Why is it still important to keep committing code even if Codespaces already saves it?,610ccb23c0
"Why does WSL2 say the model needs more memory than I have, even though my PC has enough RAM?",f3dd94f323
How do I increase the RAM available to WSL2 on Windows so the model can run?,f3dd94f323
"Where should I put the .wslconfig file, and what should I write in it to give WSL2 more memory?",f3dd94f323
"After changing WSL2 memory settings, what do I need to restart or run to make sure it worked?",f3dd94f323
How can I check inside WSL if the new memory limit was applied?,f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never opens — what’s the quickest way to fix it?",830f3d2018
"If my Codespace won’t reconnect, should I stop and restart it from github.com/codespaces or try a browser version first?",830f3d2018
"Why does my setup disappear after a rebuild or creating a new Codespace, and which files are actually kept?",830f3d2018
Do I need to commit and push more often in Codespaces so I don’t lose work if it gets deleted?,830f3d2018
"When Codespaces keeps acting weird, is it better to just run the course locally instead?",830f3d2018
"Can I skip OpenAI and use another LLM provider for the course, or is it required?",c6ff9083c0
"If my provider is blocked in my country, what other options do I have for the RAG project?",c6ff9083c0
Which hosted APIs work with the course code without major changes besides the endpoint and model?,c6ff9083c0
Can I run the model locally with Ollama or vLLM instead of calling an external API?,c6ff9083c0
Is there a list of OpenAI alternatives or local model tools recommended in the course repo?,c6ff9083c0
Why do I keep getting 429 errors from OpenAI when I run the notebook over lots of docs?,8e21752415
"What’s the easiest way to deal with OpenAI rate limits in this course, before the run crashes?",8e21752415
"Should I use retries or backoff for 429s, and how do I set that in the Python client?",8e21752415
How many workers is safe in a thread pool so I don’t hit the per-minute limit too fast?,8e21752415
"Do I need to re-run embeddings every time, or is there a good way to cache API results and avoid extra calls?",8e21752415
How do I print the full LLM response object so I can see what fields it actually has?,4a2c64c6e7
"If the API returns a Pydantic model, what is the easiest way to inspect it as JSON in a notebook?",4a2c64c6e7
Where should I look in a provider response to find tool calls and function call info?,4a2c64c6e7
"How can I locate token usage numbers like prompt, completion, and total tokens in a new LLM API response?",4a2c64c6e7
What should I change in the course code if I'm using a different provider and the response keys are not the same as OpenAI's?,4a2c64c6e7
"Why does uv keep picking the virtualenv from my old project, and how can I make it use the one in the current folder?",91675fa206
What should I do if I switch to another project but my shell is still running the previous .venv?,91675fa206
How do I check whether Python is coming from the right .venv after I run uv venv?,91675fa206
Is there a quick way to reset the active environment before creating a new one with uv?,91675fa206
"After creating a .venv in a project directory, how do I verify that the environment is actually activated and being used?",91675fa206
"I installed a Python package in GitHub Codespaces, but my notebook still says it can't import it. How do I check if the notebook is using a different environment?",74486f4c87
What should I run inside the Jupyter notebook to see which Python interpreter the kernel is actually using?,74486f4c87
"If `uv pip list` shows the package in Codespaces, but the notebook import still fails, what am I supposed to change?",74486f4c87
How do I switch my notebook to the repo's `.venv` in Codespaces so it uses the same Python env as the terminal?,74486f4c87
"After picking the right kernel in Jupyter, do I need to restart anything before trying the import again?",74486f4c87
"What exactly do tools and functions mean in agentic RAG, and are they basically the same thing?",c296ea5a21
When would a model decide to call a tool or function in an agentic RAG setup?,c296ea5a21
"Can you give examples of tasks a tool/function might handle, like search, database lookup, API calls, or calculations?",c296ea5a21
How are tools in agentic RAG different from the fixed retrieval step used in basic RAG?,c296ea5a21
"Should I worry about the difference between the words tool and function in this module, or can I treat them as the same idea?",c296ea5a21
"Are there any free LLMs that can do tool use for development, like with a RAG agent?",0d74a3616f
"Which Groq models support tool calling without paying, for example Deepseek R1 or Llama 4?",0d74a3616f
"Besides Groq, what other providers have function calling or tool use support?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool schemas and response format?",0d74a3616f
Where can I read the docs for Groq tool use and see how it works?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the Responses API with a model that's not from OpenAI?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Mistral, Groq, or Gemini, or is that only for OpenAI models?",9e7b3f0c25
What should I read instead of `response.output` when I'm using chat completions with a non-OpenAI provider?,9e7b3f0c25
How do I switch my code from the Responses API to the older chat completions API so it works with other LLM providers?,9e7b3f0c25
Do I need to change the tools schema too when I move from OpenAI's Responses API to another provider?,9e7b3f0c25
Why am I getting the Azure OpenAI 400 error saying `tools[0].function` is missing when I try to call my weather tool?,b9c7c6bb34
What should the `get_weather_tool` JSON look like so Azure OpenAI accepts it without the missing parameter error?,b9c7c6bb34
"In my function tool definition, do I need to wrap the name, description, and parameters under a `function` field?",b9c7c6bb34
Can you show the correct structure for a weather function tool for Azure OpenAI in Python JSON format?,b9c7c6bb34
What change fixes the `Missing required parameter: 'tools[0].function'` issue in the weather tool setup?,b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI model, and what should I change to make it work?",0224d980b3
"Is there a way to use toyaikit with Groq without the OpenAI Responses endpoint, and which client/runner should I switch to?",0224d980b3
"How can I set up toyaikit with Anthropic instead of OpenAI, and which runner class is meant for that?",0224d980b3
"Do I need to use `runner.run()` to test toyaikit, or can I call something from code and get the last message back directly?",0224d980b3
"If Groq gives an `UnknownModelWarning` about pricing data or Anthropic 404s, is that a real failure or just a model-id / cost-data issue?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework only on the course platform, or should I also check GitHub?",53f15299b6
Can you point me to the 2026 Module 1 homework instructions and materials?,53f15299b6
What’s the best place to look if I’m missing the homework prompt for Module 1?,53f15299b6
Do the GitHub homework pages include anything extra compared to the course platform?,53f15299b6
"Why am I getting an empty list after filtering my query in the Module 1 homework, and could it be because I indexed the data wrong?",83da208a64
"In HW Q3, what should I check first if my query filter keeps returning no results?",83da208a64
Do I need to set up the index settings before loading the data for the homework search filter to work?,83da208a64
My filtered search returns nothing in the LLM Zoomcamp homework — is the issue with how I added the data to the index?,83da208a64
What’s the fix for an empty result after applying filters and a query in Module 1 Homework Q3?,83da208a64
Why do I get APIStatusError 402 from OpenRouter when I call responses.create()?,cfb07a27d5
"Do I need to set max_output_tokens manually for Module 1 homework, and what value should I use?",cfb07a27d5
Where should I add max_output_tokens if I’m using rag_helper.py in the homework?,cfb07a27d5
How do I pass the output token limit in ToyAIKit for Q6?,cfb07a27d5
"If I still see the 402 error after lowering max_output_tokens, what else should I check in my .env or OpenRouter key settings?",cfb07a27d5
"In Module 1 homework, when people say to point RAG at the chunk index, does that mean using the split pieces instead of the full docs?",b4300adeb1
Should the search index be built from chunks or from the original documents in the homework RAG setup?,b4300adeb1
"If I have both `documents` and `chunks`, which one should I call `fit()` on for the retrieval part?",b4300adeb1
Why does the homework RAG pipeline need to use chunked records rather than the complete records?,b4300adeb1
Does pointing RAG at the chunk index just mean only the relevant pieces get added to the prompt?,b4300adeb1
"For the homework, if I get a numeric result that is a bit off from the choices, should I still pick the nearest one?",5e4ca64cb5
"Why do my homework numbers not exactly line up with the listed options, even when my code seems right?",5e4ca64cb5
"If my answer is nowhere near any of the multiple-choice options, what should I check first?",5e4ca64cb5
"Can small differences in filtering, dataset version, or rounding make the homework output slightly different?",5e4ca64cb5
Where can I read the general homework rules and submission guidance for the course?,5e4ca64cb5
"When the homework wording is confusing, where should I check first for the real instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub links have the homework tasks and materials?",7d3a2e3505
Why does the homework sometimes feel different from the lesson even though it uses the same idea?,7d3a2e3505
"If I’m still stuck after reading the homework page, what’s the best way to ask for help in Slack?",7d3a2e3505
What should I include when I post a homework question so people can actually help me troubleshoot it?,7d3a2e3505
"How should I count tokens for the Module 1 homework if I'm using a different LLM provider, not OpenAI?",fe8fed31e6
"If my model response includes usage info, which field should I read to get the prompt or input token count?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What do I do if my provider doesn't give token usage in the response object?,fe8fed31e6
"For the homework multiple-choice token question, should I pick an exact value or the nearest answer if my count is approximate?",fe8fed31e6
"Why does my homework repo link get rejected with a non-200 code like 500, and what should I check first?",bcdb8740ce
"Is it okay to submit a GitHub URL that ends with .git, or can that break the checker?",bcdb8740ce
My homework link opens for me but still fails in the submission system — could the repo be private?,bcdb8740ce
How can I quickly test whether the URL I’m submitting is actually reachable by the checker?,bcdb8740ce
What are the common reasons a repo URL returns 404 or 500 when the homework checker tries to fetch it?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people use them instead of raw text?",69430a79a8
How do embeddings turn non-numeric data into numbers without losing the meaning of the original input?,69430a79a8
"If two texts are similar, do their embeddings end up close to each other in the vector space?",69430a79a8
Why is proximity between embedding values useful for semantic similarity searches?,69430a79a8
"What’s the connection between embeddings, the vector space model, and dimensionality reduction?",69430a79a8
"Why am I seeing the warning that ""multi-qa-mpnet-base-dot-v1"" was made on sentence-transformers v3.0.0 beta, and how do I get rid of it?",aa3f597424
What’s the easiest way to suppress the sentence-transformers warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
"Do I need to update sentence-transformers to fix the ""made on v3.0.0 beta"" warning, and what version should I use?",aa3f597424
How can I stop the warning from showing when I load multi-qa-mpnet-base-dot-v1 in vector search?,aa3f597424
Is there a pip command to silence the sentence-transformers compatibility warning?,aa3f597424
Why did the lesson just use dot product for similarity instead of computing cosine the long way?,92cd22cada
"Are the embeddings from the model already unit-length, so dot product and cosine are the same there?",92cd22cada
Why does the homework make us normalize vectors before comparing them?,92cd22cada
"If I use TF-IDF plus SVD, can I still rely on dot product without normalization?",92cd22cada
What’s the actual difference between the lesson setup and the homework setup when it comes to cosine similarity?,92cd22cada
"For vector search, do I need to embed the question, the answer, or both?",5c4a8d2e60
"What's the difference between indexing just the text, just the question, or question plus text for embeddings?",5c4a8d2e60
"Is there a best choice for embeddings in the vector search assignment, or should I test it on my own data?",5c4a8d2e60
Why would embedding only the answer still work when the user asks a question?,5c4a8d2e60
"Does combining question and text usually give better results, and what should I measure to decide?",5c4a8d2e60
How does cosine similarity measure how close two text vectors are?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
Why is cosine similarity commonly used when comparing documents in text analysis?,db78580409
"If two documents are turned into word-count or TF-IDF vectors, how is similarity between them calculated?",db78580409
"Can cosine similarity be used only for non-zero vectors, and why is that?",db78580409
Why does cosine similarity become just a dot product once the embeddings are normalized?,95feb4e75b
"If all vectors have unit length, why can we use matrix multiplication for cosine similarity search?",95feb4e75b
How does normalizing the query and document vectors make cosine similarity easier to compute?,95feb4e75b
Why is cosine similarity the same as multiplying the embedding matrix by the query vector after normalization?,95feb4e75b
What changes in vector search when we normalize embeddings so cosine similarity can be computed with a matrix multiply?,95feb4e75b
"Do I need to create another GitHub repository for Module 2, or is starting a fresh codespace enough?",1e829a8c6f
"If I already have the course repo, can I just open a new codespace for the vector search module without making a new repo?",1e829a8c6f
Why does the course suggest a separate codespace for Module 2 instead of reusing the one from Module 1?,1e829a8c6f
"If I use a temporary codespace for Module 2, should I commit my code somewhere before deleting it later?",1e829a8c6f
Is the heavy vector-search setup meant to stay isolated in its own codespace so I can stop or remove it when I finish?,1e829a8c6f
Why is download.py stuck at 0% forever when getting model.onnx from HuggingFace?,29b69fbe0b
How can I fix the model.onnx download if the script never moves past 0%?,29b69fbe0b
Is there a manual way to grab model.onnx and put it where download.py expects it?,29b69fbe0b
"If I already saved model.onnx locally, will download.py still try to fetch it again?",29b69fbe0b
What should I do when HuggingFace's CDN seems slow or blocked during the model download?,29b69fbe0b
Why do the dot-product vector search results from the matrix version and the for-loop version not match exactly?,e889793af9
"Is it normal that `np.allclose(scores, scores_loop)` can return `False` even though both methods do the same thing?",e889793af9
What causes tiny differences between `X.dot(v_query)` and a manual loop over vectors in vector search?,e889793af9
Should I worry if the BLAS-based result and my Python loop give slightly different scores in the last decimals?,e889793af9
How should I compare two vector search score arrays if exact equality fails because of floating-point precision?,e889793af9
Why am I getting an IndexError: list index out of range when I try to get the best chunk from my search results?,1a7b27c4df
What usually causes the best chunk lookup to fail with list index out of range in vector search?,1a7b27c4df
How do I make sure my embeddings match the chunks so I don't hit this IndexError?,1a7b27c4df
Should I generate embeddings from the full chunk objects or from the chunk content list?,1a7b27c4df
What check should I do to confirm the embeddings array has the same length as my chunks?,1a7b27c4df
Why can FastEmbed still throw an SSL or network error when the model is already in cache?,6609b934b6
How do I make FastEmbed load a model fully offline after I have downloaded it once?,6609b934b6
"Do I need to use the same cache directory inside the container, or can it use my host cache automatically?",6609b934b6
Can I use local-only loading with SparseTextEmbedding and TextCrossEncoder too?,6609b934b6
When should I use specific_model_path instead of cache_dir for FastEmbed?,6609b934b6
"For Module 2 homework Q2, my cosine similarity doesn’t match any multiple-choice option — could I be using the wrong embedding model?",eaa17a9dc6
"In the homework, should I use sentence-transformers or the ONNX Embedder from embedder.py for the cosine similarity question?",eaa17a9dc6
Why is my Q2 value way off if I used the lesson model like multi-qa-mpnet-base-dot-v1 instead of the homework setup?,eaa17a9dc6
"What exactly should I embed for the cosine similarity calculation in Module 2 — the page content, the filename, or the whole record?",eaa17a9dc6
"If my cosine similarity is still a little different after using the right Embedder, do I just choose the closest answer?",eaa17a9dc6
How do I set up the Gemini key for Kestra so the flows can actually use it?,3860e5fe8b
Do I need both a normal Gemini API key and a SECRET_GEMINI_API_KEY for this module?,3860e5fe8b
What’s the right way to export OpenAI and Tavily keys before starting Kestra?,3860e5fe8b
Why does Kestra only see secrets after I restart the container with docker compose up -d?,3860e5fe8b
"In a Kestra YAML flow, should I call secret('GEMINI_API_KEY') or secret('SECRET_GEMINI_API_KEY')?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with Kestra flows, and what should I set to make it work?",04440cab11
"I already have a Gemini key in my project, but the Copilot still refuses to answer — is there a different env var it expects?",04440cab11
"Do I need to restart Kestra after exporting the Gemini API key, or does it pick it up automatically?",04440cab11
"My flows use SECRET_GEMINI_API_KEY, but the AI Copilot still doesn’t work — which key name is the Copilot actually reading?",04440cab11
"Could this Kestra Copilot error be caused by a bad key or quota issue, and how do I check if that’s the problem?",04440cab11
